name,ele_payor_id,address,city,state,zip,phone_one,phone_two,create_by,plain_medicare,plan_medicalid,plan_campus,plan_champva,plan_group_health,plan_feca,plan_others
Premera Blue Cross FEP,430,PO Box 327,Seattle,WA,98111,8773425258,,,,,,,,,
Seaside Health Plan,46187,P.O. Box 830459,Birmingham,AL,35283,,,,,,,,,,
MDHHS Medicaid MI,111,PO Box 85042,Richmond,VA,23261,,,,,,,,,,
Physicians Health Plan (PHP),37330,1400 East Michigan Avenue,Lansing,MI,48912,,,,,,,,,,
Health Plan of NV (Medicaid),76342,P.O. Box 15645,Las vegas,NV,89114,,,,,,,,,,
First Choice Health Network,91131,600 University St. #1400,Seattle,Washington,90101,,,,,,,,,,
Kaiser Permanente,91051,PO Box 34585,Seattle,Washington,98124,,,,,,,,,,
Regence Blue Shield of WA,932,PO Box 52890,Bellevue,Washington,98015,,,,,,,,,,
UBH of Colorado,87726,PO Box 30755,Salt Lake City,Utah,84130,8778621158,,,,,,,,,
UBH of WA,87726,PO Box 30602,Salt Lake City,WA,84130,8007161166,,,,,,,,,
GHI - BMP,13551,PO Box 2827,New York,New York,10116,,,,,,,,,,
CareSource of GA ATTN: Claims Dept,GACS1,PO Box 803,Dayton,Ohio,45401,,,,,,,,,,
Medicaid Maryland,MCDMD,PO Box 1935,Baltimore,MD,21203,,,,,,,,,,
BlueCare MI,710,PO Box 312500,Detroit,MI,48231,,,,,,,,,,
Medicaid - GA,77034,2 Peachtree Street NW,Atlanta,GA,30303,,,,,,,,,,
Beacon Health Value Options,43324,PO Box 1850,Hicksville,NY,11802,,,,,,,,,,
Carerisk Behavioral Health,33632,P.O. Box 211277,Eagan,MN,55121,,,,,,,,,,
Priority Health,38217,P.O. BOX 232,Grand Rapids,Michigan,47501,,,,,,,,,,
Medicaid New Mexico,77048,P.O.BOX,Albuquerque,NM,87125,,,,,,,,,,
Presbyterian Medicaid,1260,"Magellan, PO Box 25926",ABQ,NM,87125,,,,,,,,,,
Western Sky,68069,PO Box 8010,Farmington,MO,63640,,,,,,,,,,
BCBS New Mexico Comm,790,PO Box 2763,ABQ,NM,87125,,,,,,,,,,
BCBS NM Community Centennial MDCD,MC721,PO Box 27838,ABQ,NM,87125,,,,,,,,,,
NM HEALTH CONNECTION,82288,P.O. Box 30707,Albuquerque,NM,87190,,,,,,,,,,
Watts Healthcare Corporation,MPM09,P.O. BOX 570220,Tarzana,CA,91357,,,,,,,,,,
Kaiser Permanente-Denver,21313,PO Box 370010,Denver,CO,80237,,,,,,,,,,
America's Health Plan,AHP01,PO Box 3459,Torrance,California,90510,,,,,,,,,,
AmericasHealth Plan,AHP01,P.O. Box 3459,Torrance,CA,90510,,,,,,,,,,
AmericasHealth Plan,AHP01,P.O. Box 3459,Torrance,CA,90510,,,,,,,,,,
United Healthcare Choice Plus,87726,P.O. Box 740800,Alanta,GA,30374,,,,,,,,,,
Blue Care Network,710,PO Box 68710,Grand Rapids,MI,49516,,,,,,,,,,
Blue Cross Blue Shield Federal Dept 1112,710,PO Box 312599,Detroit,MI,48231,,,,,,,,,,
Blue Cross Blue Shield of Michigan,710,PO Box 2500,Detroit,MI,48231,,,,,,,,,,
Aetna Better Health of Kansas,128KS,P.O. Box 61838,Phoenix,AZ,85082,,,,,,,,,,
HealthCare Partners Medical Group,HCP01,501 Franklin Avenue Suite 300,Garden City,NY,11530,,,,,,,,,,
Magnacare,11303,P.O. Box 1001,Garden City,New York,11530,,,,,,,,,,
BCBS of Illinois - BAWMI,710,P.O Box 2500,Detroit,MI,48231,,,,,,,,,,
Anthem GA,630,PO BOX 105187,Atlanta,GA,30348,,,,,,,,,,
Ambetter,68069,PO BOX 5010,FARMINGTON,MO,63640,8776871182,,,,,,,,,
Anthem Medicaid,630,PO BOX 61010,VIRGINIA BCH,VA,23466,,,,,,,,,,
Anthem Federal,630,FEP PO BOX 105187,Atlanta,GA,30348,8003825520,,,,,,,,,
CareSource Marketplace,INCS1,PO BOX 3607,DAYTON,OH,45401,8552021091,,,,,,,,,
CareSource Medicaid,INCS1,PO BOX 3607,DAYTON,OH,45401,8446072831,,,,,,,,,
Encore,35206,8520 ALLISON POINTE BLVD STE 200,INDIANAPOLIS,IN,46250,8002915837,,,,,,,,,
IU,IUHPLNS,PO BOX 11196,PORTLAND,ME,4104,8668955835,,,,,,,,,
Managed Health Services- Medicaid,39186,PO BOX 3002,FARMINGTON,MO,63640,8776474848,,,,,,,,,
MDwise,3519M,PO BOX 1575,Flint,MI,48501,3178227300,,,,,,,,,
UBH,87726,PO BOX 740800,ATLANTA,GA,30374,8008882998,,,,,,,,,
ProHealth,35161,PO BOX 50407,INDIANAPOLIS,IN,46250,8003448672,,,,,,,,,
Sagamore,35164,PO Box 6051,Indianapolis,IN,46206,8007664184,,,,,,,,,
HP Pro. Traditional Medicaid,MCDIN,PO BOX 7269,INDIANAPOLIS,IN,46207,8005771278,,,,,,,,,
Mental Health Consultants,37050,"1501 Lower State Rd. Building D, Suite 200",North wales,PA,19454,,,,,,,,,,
GEHA-ASA,6603,P.O. Box 981707,El Paso,TX,79998,,,,,,,,,,
Medicaid - AL,MCDAL,P.O. Box 244032,Montgomery,AL,36124,8007277848,8006887989,,,,,,,,
Magellan Health Services,1260,P.O. Box 2278,Maryland Heights,MO,63043,,,,,,,,,,
Blue Care Network,210,PO Box 5043,Southfield,MI,48086,,,,,,,,,,
Health Alliance Plan of Michigan,38224,2850 West Grand Blvd.,Detroit,MI,48202,,,,,,,,,,
Beacon Health Options,VALOP,"1 Cameron Hill Circle, Ste. 0002",Chattanooga,TN,37402,,,,,,,,,,
Mercy Benefit Administrators,37264,P.O. Box 14230,Springfield,MO,65814,,,,,,,,,,
Cerner Health Plan Services,20356,PO Box 165750,Kansas City,MO,64116,,,,,,,,,,
Anthem Blue Cross BAWMI,710,P.O Box 2500,Detroit,MI,48231,,,,,,,,,,
Health First Colorado,77016,PO Box 30,Denver,CO,80201,,,,,,,,,,
ASR Health Benefits,38265,PO Box 6392,Grand Rapids,MI,49516,,,,,,,,,,
Mercy MBH Anthem,241,P.O. Box 105187,Atlanta,GA,30348,,,,,,,,,,
CoreSource,35182,PO Box 2920,Clinton,IA,52733,,,,,,,,,,
McLaren Health Plan,38338,P. O. Box 1511,Flint,MI,48501,,,,,,,,,,
McLaren Healthplan,38338,P.O. Box 1511,Flint,MI,48501,,,,,,,,,,
Medi-Cal (California Medicaid),MC051,820 Stillwater Road,West Sacramento,CA,95605,9166361200,8007864346,,,,,,,,
Health Plan of San Joaquin,HPSJ1,PO BOX 30490,Stockton,CA,95213,,,,,,,,,,
Blue Cross Community Health plan,MCDIL,P.O. Box 3418,Scranton,PA,18505,,,,,,,,,,
LA Care - Commercial,LACAR,P.O. Box 811580,Los Angeles,CA,90081,8665222736,,,,,,,,,
Blue Cross of Idaho,BLUEC,PO Box 7408,Boise,ID,83707,,,,,,,,,,
Meridian Health Plan 13189,13189,1 Campus Martius Suite 720,Detroit,MI,48226,,,,,,,,,,
UnitedHealthcare / All Savers Insurance,81400,Po Box 31375,Salt Lake City,UT,84131,,,,,,,,,,
Amerihealth,77799,Pobox 80100,London,KY,40742,855-707-5818,,,,,,,,,
Anthem BCBS,803,PO Box 1407,New York,NY,10008,,,,,,,,,,
MercyCare Health Plans,39114,P.O. Box 550,Janesville,WI,53547,,,,,,,,,,
Bella Vista Medical Group,MPM10,P.O. BOX 572066,TARZANA,CA,91357,,,,,,,,,,
Medicaid WA,MC006,626 8th Ave SE,Olympia,WA,98501,,,,,,,,,,
New Directions Behavioral Health,NDX99,PO Box 21234,Eagan,MN,55121,,,,,,,,,,
Conduent (Alaska MCD),MCDAK,P.O BOX 240769,ANCHORAGE,AK,99524,,,,,,,,,,
Optum Health,87726,P.O Box 1459,Minneapolis,MN,55440,,,,,,,,,,
Pioneer Medical Group,MPM18,12401 Washington Blvd,Whittier,CA,90602,,,,,,,,,,
Coastwise Claims,6475,PO Box 429101,San Francisco,CA,94142,,,,,,,,,,
Presbyterian Health Plan - Magellan,1260,PO Box 27489,Albuquerque,New Mexico,87125,,,,,,,,,,
Molina Healthcare NM,9824,PO Box 22668,Long Beach,CA,90801,,,,,,,,,,
Beacon Health Options,43324,PO Box 1862,Hicksville,NY,11802,,,,,,,,,,
health plan of san mateo,HPSM1,801 gateway boulevard Suite100,South San Francisco,CA,94080,650-616-0050,,,,,,,,,
UPMC Health Plan,23281,PO Box 2999,Pittsburgh,PA,15230,,,,,,,,,,
UMR,39026,PO BOX 30541,Salt Lake City,UT,84130,,,,,,,,,,
Avalon Medical Group,CAPMN,PO Box 260830,Encino,California,91426,,,,,,,,,,
CAREfirst,C1SCA,601 POTRERO GRANDE DR,MONTEREY PARK,CA,91755,,,,,,,,,,
Highmark BCBS Delaware,570,PO Box 8832,Wilmington,DE,19899,8006332563,,,,,,,,,
Amerihealth Caritas Delaware,77799,PO Box 80100,London,KY,40742,,,,,,,,,,
United Healthcare Community Plan NewID,87726,,,,,,,,,,,,,,
Allied Benefit,75068,P.O. Box 909786-60690,Chicago,IL,60690,,,,,,,,,,
First Choice Health,93029,PO Box 7068,Springfield,OR,97475,,,,,,,,,,
Greater L.A. Healthcare,CAPMN,P.O. Box 260830,Encino,California,91426,,,,,,,,,,
Greater San Gabriel Valley Physicians,CAPMN,PO Box 260830,Encino,California,91426,,,,,,,,,,
Huntington Park Mission Medical Group,CAPMN,PO Box 260830,Encino,California,91426,,,,,,,,,,
Mabuhay Medical Group,CAPMN,PO Box 260830,Encino,California,91426,,,,,,,,,,
Mid Cities IPA,CAPMN,PO Box 260830,Encino,California,91426,,,,,,,,,,
Pasadena Primary Care Physicians Group,CAPMN,PO Box 260830,Encino,California,91426,,,,,,,,,,
Primary Care & Pediatric IPA,CAPMN,PO Box 260830,Encino,California,91426,,,,,,,,,,
California Kids Care,CKC01,3020 Children's Way,San Diego,CA,92123,,,,,,,,,,
BCBS Illinois,621,PO Box 805107,Naperville,IL,60680,3126536000,,,,,,,,,
CountyCare Health Plan,6541,PO Box 211592,Eagan,MN,55121,3128648200,,,,,,,,,
Cypress Benefit Administrators,88056,PO Box 880,Farmington,MI,48331,,,,,,,,,,
One Call- Align Networks,J1716,P.O Box 7928,Elk Grove Village,IL,60009,,,,,,,,,,
Health Management Admin,HMA01,10700 Northup Way Suite 100,Bellevue,WA,98004,,,,,,,,,,
MVP,14165,PO Box 2207,Schenectady,NY,12301,,,,,,,,,,
Healthfirst Insurance,80141,P.O. Box 958438,Lake Mary,FL,32795,,,,,,,,,,
Preferred IPA,PFIPA,"1025 N BRAND BLVD, SUITE 100",GLENDALE,CA,91202,,,,,,,,,,
Blue Shield Promise Health,C1SCA,PO BOX 272660,Chico,CA,95926,,,,,,,,,,
BCBS of FL,590,PO Box 1798,Jacksonville,FL,32231,,,,,,,,,,
ClaimsBridge HPN/Integra,11752,PO Box 730,Arnold,MD,21012,8889607809,,,,,,,,,
Home State Health,68069,PO Box 4050,Farmington,MO,36340,,,,,,,,,,
Quest Behavioral Health,44219,PO Box 565,Arnold,MD,21012,,,,,,,,,,
TRIWest Healthcare Alliance,VAP03,PO BOX 7926,MADISON,WI,53707,,,,,,,,,,
ADOC Medical Group,ADOCS,"600 City Parkway West, Suite 400",Orange,CA,92868,,,,,,,,,,
UBH CHIP,87726,PO Box 30755,Salt Lake City,Utah,84130,,,,,,,,,,
US Department of Labor,77044,PO BOX 8300,London,KY,23046,,,,,,,,,,
Boncura Health Solutions,66727,PO BOX 3358,Chicago,IL,60601,,,,,,,,,,
Community Family Care,NMM05,1668 S. Garfield Ave,Alhambra,CA,91801,,,,,,,,,,
UCSD MEDICAL GROUP,SCP01,200 West Arbor Drive,San Diego,CA,92103,,,,,,,,,,
Medi-Share,59355,PO Box 981652,El Paso,TX,79998,,,,,,,,,,
Family Care Specialists IPA,MPM40,PO Box 570518,Tarzana,CA,91357,,,,,,,,,,
Helmsman Management Services,ONLINE,PO BOX 7203,London,KY,40742,,,,,,,,,,
"Masters,Mates & Pilots (Cigna)",MMPHB,700 Maritime Blvd STE A,Linthicum Heights,MD,21090,4008508500,,,,,,,,,
Affiliated Partners IPA,POP09,"1210 N. Jefferson ST., unit D",Anaheim,CA,92807,,,,,,,,,,
GHI,13551,PO Box 3000,New York,NY,10116,,,,,,,,,,
UHC Community Plan,87726,PO Box 5240,Kingston,NY,12402,8663623368,,,,,,,,,
Orchid Medical,ONLINE,P.O. Box 560370,Orlando,FL,32856,,,,,,,,,,
BCBSMN Blue Plus Medicaid,562,,,,,,,,,,,,,,
Aetna Better Health of Florida,128FL,"8200 NW 41st Street, Suite 125",Doral,FL,33166,,,,,,,,,,
Beacon Health Options,DS35,10200 Sunset Dr,Miami,FL,33173,,,,,,,,,,
Cigna Health,62308,"11095 Viking Drive, Suite 350",Eden Prairie,MN,55344,9529962000,,,,,,,,,
Staywell,14163,8725 Henderson Road,Tampa,FL,33634,8667995321,,,,,,,,,
Medicaid of Florida,SKFL0,P.O. Box 7080,Tallahassee,FL,32314,8884193456,,,,,,,,,
Emblem Behavioral Health,43324,PO Box 1850,Hicksville,NY,11802,8884472526,,,,,,,,,
Optum MD Medicaid,OMDBH,P.O. Box 30531,Salt Lake City,Utah,84130,,,,,,,,,,
Serendib Healthways,CAPMN,Po Box 260950,Encino,CA,91426,,,,,,,,,,
MHBP,25133,PO BOX 8402,LONDON,KY,40742,,,,,,,,,,
Allied Pacific of California,NMM01,"1680 S. Garfield Ave., Suite 201",Alhambra,CA,91801,,,,,,,,,,
Associated Hispanic Physicians of CA,MPM44,PO Box 571450,Tarzana,CA,91357,,,,,,,,,,
AltaMed,ALTAM,PO BOX 7280,LOS ANGELES,CA,90022,,,,,,,,,,
Scripps Health Plan Services,SHPS1,"P.O. Box 2079, 4S-300",La Jolla,CA,92038,,,,,,,,,,
USAA,74095,9800 Fredericksburg Rd,San Antonio,TX,78288,,,,,,,,,,
Medicaid - Montana,SKMT0,P.O. Box 8000,Helena,MT,59604,,,,,,,,,,
Pacific Source/ Availity,93029,PO Box 7068,Springfield,OR,97475,,,,,,,,,,
Allegiance,81040,P.O. Box 3018,Missoula,MT,59806,,,,,,,,,,
Montana Health Co-op,SX155,PO Box 45180,Salt Lake City,UT,84145,,,,,,,,,,
Humana Health Benefit Plan of Louisiana,61101,P.O. Box 14601,Lexington,KY,40512,,,,,,,,,,
Anthem BCBS ME,SB680,PO BOX 533,North Haven,Connecticut,6473,,,,,,,,,,
Amerihealth Caritas LA,27357,PO Box 83580,Baton Rouge,LA,70884,,,,,,,,,,
Louisiana Healthcare Connections,68069,PO Box 4040,Farmington,MO,63640,,,,,,,,,,
Aetna,60054,PO Box 14079,Lexington,KY,40512,,,,,,,,,,
Aetna Better Health of LA,128LA,2400 Veterans Memorial Blvd STE 200,Kenner,LA,70062,,,,,,,,,,
Blue Cross Blue Shield of LA,53120,PO Box 98024,Baton Rouge,LA,70898,,,,,,,,,,
Healthy Blue LA,661,PO Box 61010,Virginia Beach,VA,23466,,,,,,,,,,
Speech - Aetna,60054,PO Box 981106,El Paso,TX,79998,,,,,,,,,,
Speech - Anthem BC BAWMI,710,PO Box 2500,Detroit,MI,48231,,,,,,,,,,
Speech - BCBS of ILL-BAWMI,710,PO Box 2500,Detroit,MI,48231,,,,,,,,,,
Speech - BCBS of MI,710,PO Box 2500,Detroit,MI,48231,,,,,,,,,,
Speech - Blue Care Network,710,PO Box 68710,Grand Rapids,MI,49516,,,,,,,,,,
Speech - BCBS Federal Dept 1112,710,PO Box 312599,Detroit,MI,48231,,,,,,,,,,
Speech - Cypress Benefit Admin,88056,PO Box 880,Farmington,MI,48331,,,,,,,,,,
Speech - UMR,39026,PO Box 30541,Salt Lake City,UT,48130,,,,,,,,,,
Speech - UHC Choice Plus,87726,PO Box 740800,Atlanta,GA,30374,,,,,,,,,,
Homelink,30750,Po Box 1860,Waterloo,IA,50704,,,,,,,,,,
Accountable Healthcare IPA,AHIPA,1680 S. Garfield Ave. BOX-A,Alhambra,CA,91801,,,,,,,,,,
Blue Cross Blue Shield Montana,66004,PO Box 8000,Helena,MT,59604,,,,,,,,,,
Advantage Health Network,NMM01,"1680 S. Garfield Ave., STE 201",Alhambra,CA,91801,,,,,,,,,,
Arroyo Vista Family Health Center,NMM01,"1680 S. Garfield Ave., STE 201",Alhambra,CA,91801,,,,,,,,,,
Greater Orange County Medical Group,NMM01,"1680 S. Garfield Ave., STE 201",Alhambra,CA,91801,,,,,,,,,,
Greater San Gabriel Physicians (NMM),NMM01,"1680 S. Garfield Ave., STE 201",Alhambra,CA,91801,,,,,,,,,,
Oscar,OSCAR,501 South Buena Vista Street,Burbank,CA,90505,,,,,,,,,,
EHP Silver Cross,EHPSC,PO Box 7160 STE 502,Westchester,IL,60154,,,,,,,,,,
BCBS Federal of AL,510,450 Riverchase Parkway East,Birmingham,AL,35244,,,,,,,,,,
BlueAdvantage - AR,510,PO Box 1460,Little Rock,AR,72203,,,,,,,,,,
BCBS Carefirst,510,PO Box 14115,Lexington,KY,40512,,,,,,,,,,
Sierra Medical Group,SMG01,PO BOX 7013,LANCASTER,CA,93539,,,,,,,,,,
Omnicare Medical Group,OMN02,3621 Martin Luther King Jr Blvd # 8,Lynwood,CA,90262,,,,,,,,,,
Health Plans Inc.,44273,P.O. Box 5199,Quincy,MA,2296,,,,,,,,,,
TrustMark,35182,P.O. Box 2920,Clinton,Iowa,52733,,,,,,,,,,
Community First Health Plan,COMMF,PO Box 853927,Richardson,Texas,75085,,,,,,,,,,
Anthem BCBS MA,BS059,PO Box 986020,Boston,MA,2298,,,,,,,,,,
NH Healthy Families,68069,2 Executive Park Dr,Bedford,NH,3110,,,,,,,,,,
Anthem BCBS of NH,770,3000 Goffs Falls Road,Manchester,NH,3111,,,,,,,,,,
Community Health Choice,48145,PO Box 301404,Houston,TX,77230,8332768306,,,,,,,,,
Greater Covina Medical Group(Regal),GCMG1,"605 E. Badillo St., #300",Covina,CA,91723,,,,,,,,,,
Peach State Health Plan,68069,PO Box 3030,Farmington,MO,63640,,,,,,,,,,
AmeriHealth Caritas NH,87716,PO Box 7387 Attn: Claims,London,KY,40742,,,,,,,,,,
Beacon Health Options (VALOP),VALOP,PO Box 1866,Hicksville,NY,11802,,,,,,,,,,
OptumHealth (ACN),41161,P.O. Box 880009,San Diego,CA,92168,,,,,,,,,,
THT Health,81040,PO Box 4786,Missoula,MT,59806,,,,,,,,,,
Cigna,62308,PO Box 188022,Chattanooga,TN,37422,,,,,,,,,,
Horizon NJ Health,22326,PO Box 24078,Newark,NJ,7101,,,,,,,,,,
UHC Shared Services,39026,PO Box 30541,Salt Lake City,UT,84130,,,,,,,,,,
OptumHealth Behavioral Solutions,87726,PO Box 30755,Salt Lake City,UT,84130,,,,,,,,,,
Vitruvian Care,VUIPA,18000 STUDEBAKER ROAD SUITE 100,CERRITOS,CA,90703,,,,,,,,,,
Emanate Health IPA,NMM01,1680 S Garfield Ave Box A,Alhambra,CA,91801,,,,,,,,,,
GT Independence,404143,215 Broadus St.,Sturgis,MI,49091,,,,,,,,,,
All Savers,81400,PO Box 31375,Salt Lake City,UT,84131,,,,,,,,,,
Anthem Indiana,630,PO Box 61010 Mail Stop IN99,Virginia Beach,VA,23466,,,,,,,,,,
MHS,68069,PO Box 3002,Farmington,Missouri,63640,,,,,,,,,,
Medicaid NJ,MCDNJ,PO Box 4804,Trenton,NJ,8650,,,,,,,,,,
Medicaid RI (Gainwell),MCDRI,PO Box 2010,Warwick,RI,2887,,,,,,,,,,
BCBS RI,870,500 Exchange St,Providence,RI,2903,,,,,,,,,,
Orange County Physicians IPA,HSM01,PO BOX 6300,Cypress,CA,90630,,,,,,,,,,
St. Vincent IPA,PDT01,PO BOX 5089,OCEANSIDE,CA,92052,,,,,,,,,,
Vantage Medical Group (PMG),PROSP,PO Box 11466,Santa Ana,CA,92711,,,,,,,,,,
ASRM LLC,ASRM1,"505 South Lenola Road, Ste 231",Moorestown,NJ,8057,,,,,,,,,,
DDD - HOME,MCDNJ,PO Box 4804,Trenton,NJ,8650,,,,,,,,,,
Custom Design Benefits,82056,5589 Cheviot Rd,Cincinnati,Ohio,45247,,,,,,,,,,
Healthscope (aetna),71063,,,,,,,,,,,,,,
Southland San Gabriel Valley Medical Group,PHM11,PO BOX 7340,ALHAMBRA,CA,91802,,,,,,,,,,
Buckeye Health Plan,68068,PO Box 6150,Farmington,MO,63640,,,,,,,,,,
Medicare,,P.O. Box 6178,Indianapolis,IN,46206,,,,,,,,,,
"UnitedHealthcare Global, Att’n Claims",USN01,P.O. BOX 30526,Salt Lake City,UT,84130,,,,,,,,,,
